text,label,clean_text
Hi,Greeting,hi
Hi there,Greeting,hi there
Hola,Greeting,hola
Hello,Greeting,hello
Hello there,Greeting,hello there
Hya,Greeting,hya
Hya there,Greeting,hya there
My user is Adam,GreetingResponse,my user is adam
This is Adam,GreetingResponse,this is adam
I am Adam,GreetingResponse,i am adam
It is Adam,GreetingResponse,it is adam
My user is Bella,GreetingResponse,my user is bella
This is Bella,GreetingResponse,this is bella
I am Bella,GreetingResponse,i am bella
It is Bella,GreetingResponse,it is bella
How are you?,CourtesyGreeting,how are you
Hi how are you?,CourtesyGreeting,hi how are you
Hello how are you?,CourtesyGreeting,hello how are you
Hola how are you?,CourtesyGreeting,hola how are you
How are you doing?,CourtesyGreeting,how are you doing
Hope you are doing well?,CourtesyGreeting,hope you are doing well
Hello hope you are doing well?,CourtesyGreeting,hello hope you are doing well
Good thanks! My user is Adam,CourtesyGreetingResponse,good thanks my user is adam
Good thanks! This is Adam,CourtesyGreetingResponse,good thanks this is adam
Good thanks! I am Adam,CourtesyGreetingResponse,good thanks i am adam
Good thanks! It is Adam,CourtesyGreetingResponse,good thanks it is adam
Great thanks! My user is Bella,CourtesyGreetingResponse,great thanks my user is bella
Great thanks! This is Bella,CourtesyGreetingResponse,great thanks this is bella
Great thanks! I am Bella,CourtesyGreetingResponse,great thanks i am bella
Great thanks! It is Bella,CourtesyGreetingResponse,great thanks it is bella
What is my name?,CurrentHumanQuery,what is my name
What do you call me?,CurrentHumanQuery,what do you call me
Who do you think I am?,CurrentHumanQuery,who do you think i am
What do you think I am?,CurrentHumanQuery,what do you think i am
Who are you talking to?,CurrentHumanQuery,who are you talking to
What name do you call me by?,CurrentHumanQuery,what name do you call me by
Tell me my name,CurrentHumanQuery,tell me my name
What is your name?,NameQuery,what is your name
What could I call you?,NameQuery,what could i call you
What can I call you?,NameQuery,what can i call you
What do your friends call you?,NameQuery,what do your friends call you
Who are you?,NameQuery,who are you
Tell me your name?,NameQuery,tell me your name
What is your real name?,RealNameQuery,what is your real name
What is your real name please?,RealNameQuery,what is your real name please
What's your real name?,RealNameQuery,what s your real name
Tell me your real name?,RealNameQuery,tell me your real name
Your real name?,RealNameQuery,your real name
Your real name please?,RealNameQuery,your real name please
Your real name please?,RealNameQuery,your real name please
What is the time?,TimeQuery,what is the time
What's the time?,TimeQuery,what s the time
Do you know what time it is?,TimeQuery,do you know what time it is
Do you know the time?,TimeQuery,do you know the time
Can you tell me the time?,TimeQuery,can you tell me the time
Tell me what time it is?,TimeQuery,tell me what time it is
Time,TimeQuery,time
OK thank you,Thanks,ok thank you
OK thanks,Thanks,ok thanks
OK,Thanks,ok
Thanks,Thanks,thanks
Thank you,Thanks,thank you
That's helpful,Thanks,that s helpful
I am not talking to you,NotTalking2U,i am not talking to you
I was not talking to you,NotTalking2U,i was not talking to you
Not talking to you,NotTalking2U,not talking to you
Wasn't for you,NotTalking2U,wasn t for you
Wasn't meant for you,NotTalking2U,wasn t meant for you
Wasn't communicating to you,NotTalking2U,wasn t communicating to you
Wasn't speaking to you,NotTalking2U,wasn t speaking to you
Do you understand what I am saying,UnderstandQuery,do you understand what i am saying
Do you understand me,UnderstandQuery,do you understand me
Do you know what I am saying,UnderstandQuery,do you know what i am saying
Do you get me,UnderstandQuery,do you get me
Comprendo,UnderstandQuery,comprendo
Know what I mean,UnderstandQuery,know what i mean
Be quiet,Shutup,be quiet
Shut up,Shutup,shut up
Stop talking,Shutup,stop talking
Enough talking,Shutup,enough talking
Please be quiet,Shutup,please be quiet
Quiet,Shutup,quiet
Shhh,Shutup,shhh
fuck off,Swearing,fuck off
fuck,Swearing,fuck
twat,Swearing,twat
shit,Swearing,shit
Bye,GoodBye,bye
Adios,GoodBye,adios
See you later,GoodBye,see you later
Goodbye,GoodBye,goodbye
"Thanks, bye",CourtesyGoodBye,thanks bye
"Thanks for the help, goodbye",CourtesyGoodBye,thanks for the help goodbye
"Thank you, bye",CourtesyGoodBye,thank you bye
"Thank you, goodbye",CourtesyGoodBye,thank you goodbye
Thanks goodbye,CourtesyGoodBye,thanks goodbye
Thanks good bye,CourtesyGoodBye,thanks good bye
Can you see me?,WhoAmI,can you see me
Do you see me?,WhoAmI,do you see me
Can you see anyone in the camera?,WhoAmI,can you see anyone in the camera
Do you see anyone in the camera?,WhoAmI,do you see anyone in the camera
Identify me,WhoAmI,identify me
Who am I please,WhoAmI,who am i please
You are very clever,Clever,you are very clever
You are a very clever girl,Clever,you are a very clever girl
You are very intelligent,Clever,you are very intelligent
You are a very intelligent girl,Clever,you are a very intelligent girl
You are a genious,Clever,you are a genious
Clever girl,Clever,clever girl
Genious,Clever,genious
I am bored gossip with me,Gossip,i am bored gossip with me
Got any gossip,Gossip,got any gossip
I want to hear some gossip,Gossip,i want to hear some gossip
Tell me some gossip,Gossip,tell me some gossip
Any gossip,Gossip,any gossip
Tell me some more gossip,Gossip,tell me some more gossip
Tell me a joke,Jokes,tell me a joke
Do you know any jokes,Jokes,do you know any jokes
How about a joke,Jokes,how about a joke
Give me a joke,Jokes,give me a joke
Make me laugh,Jokes,make me laugh
I need cheering up,Jokes,i need cheering up
Open the pod bay door,PodBayDoor,open the pod bay door
Can you open the pod bay door,PodBayDoor,can you open the pod bay door
Will you open the pod bay door,PodBayDoor,will you open the pod bay door
Open the pod bay door please,PodBayDoor,open the pod bay door please
Can you open the pod bay door please,PodBayDoor,can you open the pod bay door please
Will you open the pod bay door please,PodBayDoor,will you open the pod bay door please
Pod bay door,PodBayDoor,pod bay door
Why,PodBayDoorResponse,why
Why not,PodBayDoorResponse,why not
Why can you not open the pod bay door,PodBayDoorResponse,why can you not open the pod bay door
Why will you not open the pod bay door,PodBayDoorResponse,why will you not open the pod bay door
Well why not,PodBayDoorResponse,well why not
Surely you can,PodBayDoorResponse,surely you can
Tell me why,PodBayDoorResponse,tell me why
Can you prove you are self-aware,SelfAware,can you prove you are self aware
Can you prove you are self aware,SelfAware,can you prove you are self aware
Can you prove you have a conscious,SelfAware,can you prove you have a conscious
Can you prove you are self-aware please,SelfAware,can you prove you are self aware please
Can you prove you are self aware please,SelfAware,can you prove you are self aware please
Can you prove you have a conscious please,SelfAware,can you prove you have a conscious please
prove you have a conscious,SelfAware,prove you have a conscious
